en;nl
Start new game;Start nieuw spel
Load existing game;Spel laden
TrainGame;TreinSpel
Please specify a world name;Vul een naam voor de wereld in
Create new world;Maak nieuwe wereld
World name;Naam van wereld
Create;Maken
Cancel;Annuleren
Game paused;Spel gepauzeerd
Continue playing;Terug naar spel
Save and quit to title;Opslaan en naar hoofdmenu
Load an existing world;Kies een wereld om te laden
Play selected world;Speel deze wereld
Rename;Naam wijzigen
Delete;Verwijderen
<no worlds exist>;<geen werelden gevonden>
Select a world:;Kies een wereld:
World is deleted!;Wereld is verwijderd!
Deleting a world;Wereld verwijderen
"You are about to delete the entire world named ""%s"", which cannot be undone.";"Je staat op het punt de hele wereld genaamd ""%s"" te verwijderen. Dit kan niet ongedaan gemaakt worden."
Are you sure you want to continue?;Weet je zeker dat je wil doorgaan?
Renaming failed: world name cannot be empty.;Naam wijzigen mislukt: de naam mag niet leeg zijn.
"World renamed to ""%s""!";"Gelukt! De wereld heet nu ""%s""!"
Renaming a world;Naam wijzigen van een wereld
New name for world:;Nieuwe naam voor de wereld:
